Date,Visits,Orders,va_closer_id,Marketing Channel,Units,BasePrice,Revenue,DiscountTotal
2019-01-01,4578,16,1,Paid Search,60,2242,8113.42,1032.8
2019-01-01,1,0,15,none,0,0,0,0
2019-01-01,19181,31,2,Organic Search,106,5295,17869.58,2063.45
2019-01-01,135,0,3,Display,0,0,0,0
2019-01-01,200,0,4,Email,0,0,0,0
2019-01-01,380,14,5,Affiliate,54,1986,7120.2,1029.2
2019-01-01,6701,24,6,Direct,86,4104,12497.8,3238.2
2019-01-01,860,9,7,Session Refresh,36,1084,3746.57,875
2019-01-01,54,0,8,Organic Social,0,0,0,0
2019-01-01,2082,4,9,Referring Domain,16,590,2239.54,297
2019-01-02,5888,22,1,Paid Search,70,3285,9749.14,1554.7
2019-01-02,30538,63,2,Organic Search,227,9866,35014.62,3563.65
2019-01-02,152,0,3,Display,0,0,0,0
2019-01-02,636,1,4,Email,4,125,539.12,0
2019-01-02,681,33,5,Affiliate,119,4382,15121.61,1972.9
2019-01-02,7645,37,6,Direct,138,5373,17673.3,3359.65
2019-01-02,1269,6,7,Session Refresh,24,805,2311.74,1076.6
2019-01-02,41,0,8,Organic Social,0,0,0,0
2019-01-02,2252,17,9,Referring Domain,60,2578,8130.17,1856.7
2019-01-03,5725,25,1,Paid Search,91,3942,14366.65,2043.85
2019-01-03,1,0,15,none,0,0,0,0
2019-01-03,29757,47,2,Organic Search,170,7566,25314.61,3061.8
2019-01-03,160,0,3,Display,0,0,0,0
2019-01-03,431,6,4,Email,24,712,2116.93,901.4
2019-01-03,1198,27,5,Affiliate,106,4215,15349.03,2390.6
2019-01-03,6190,53,6,Direct,199,8809,27229.6,5908.3
2019-01-03,1297,9,7,Session Refresh,34,1385,4068.29,1496.6
2019-01-03,49,1,8,Organic Social,2,140,192.92,98
2019-01-03,1549,13,9,Referring Domain,43,2085,5127.31,1990.2
2019-01-04,5552,19,1,Paid Search,64,2847,9148.26,963.4
2019-01-04,27853,63,2,Organic Search,225,9189,31903.05,4230.3
2019-01-04,134,0,3,Display,0,0,0,0
2019-01-04,499,4,4,Email,16,673,1859.6,942.2
2019-01-04,777,18,5,Affiliate,62,3064,9555.01,1272.05
2019-01-04,6038,38,6,Direct,143,5954,18172.79,5624.95
2019-01-04,1274,6,7,Session Refresh,24,1101,3535.21,1111
2019-01-04,54,1,8,Organic Social,4,178,503.2,249.2
2019-01-04,1502,12,9,Referring Domain,38,1561,3931.76,1608.45
2019-01-05,4959,19,1,Paid Search,68,2811,10183.21,892
2019-01-05,24757,44,2,Organic Search,156,7223,21449.34,4976.7
2019-01-05,119,1,3,Display,4,120,535.6,0
2019-01-05,296,3,4,Email,10,587,1252.3,701.6
2019-01-05,562,25,5,Affiliate,82,3783,11871.21,1677.55
2019-01-05,3975,19,6,Direct,62,2945,7920.54,2544.9
2019-01-05,1024,8,7,Session Refresh,24,1272,4090.65,322.7
2019-01-05,41,0,8,Organic Social,0,0,0,0
2019-01-05,1195,6,9,Referring Domain,20,930,2896.22,525.8
2019-01-06,4015,14,1,Paid Search,52,2101,8271.83,138
2019-01-06,21150,50,2,Organic Search,174,7425,24286.46,3401.6
2019-01-06,77,0,3,Display,0,0,0,0
2019-01-06,207,0,4,Email,0,0,0,0
2019-01-06,431,20,5,Affiliate,70,3236,10139.86,1300.8
2019-01-06,6530,23,6,Direct,84,3843,12481.69,2994.6
2019-01-06,919,4,7,Session Refresh,11,607,1454.06,415.8
2019-01-06,57,0,8,Organic Social,0,0,0,0
2019-01-06,1526,4,9,Referring Domain,16,555,2183.67,176.4
2019-01-07,6070,22,1,Paid Search,84,3847,13764.51,2104.7
2019-01-07,28876,70,2,Organic Search,240,10988,36253.99,5937.1
2019-01-07,98,0,3,Display,0,0,0,0
2019-01-07,600,3,4,Email,11,514,1549.05,612.5
2019-01-07,657,30,5,Affiliate,100,4040,13438.29,1244.4
2019-01-07,7431,39,6,Direct,140,6517,18773.53,6448.15
2019-01-07,1155,8,7,Session Refresh,28,1233,3864.31,715.4
2019-01-07,45,1,8,Organic Social,4,129,555.34,0
2019-01-07,2125,10,9,Referring Domain,35,1665,4871.69,1310.9
2019-01-08,6139,28,1,Paid Search,110,4235,15451.98,2313
2019-01-08,27587,75,2,Organic Search,274,11291,37406.32,6531.85
2019-01-08,115,0,3,Display,0,0,0,0
2019-01-08,500,3,4,Email,10,322,790.18,389.9
2019-01-08,1050,27,5,Affiliate,97,3716,12235.29,1960.5
2019-01-08,6937,56,6,Direct,210,8311,26281.46,7064.3
2019-01-08,1150,4,7,Session Refresh,16,637,2148.63,570
2019-01-08,38,0,8,Organic Social,0,0,0,0
2019-01-08,2121,12,9,Referring Domain,49,2304,7018.43,2406
2019-01-09,6398,15,1,Paid Search,58,2301,8351.47,1232.3
2019-01-09,27807,94,2,Organic Search,332,14752,47039.31,9451.85
2019-01-09,108,1,3,Display,2,155,330.2,0
2019-01-09,455,3,4,Email,12,453,1589.09,306.6
2019-01-09,703,22,5,Affiliate,78,3695,11564.44,2347.25
2019-01-09,5611,62,6,Direct,240,9299,29168.54,9449.7
2019-01-09,1152,5,7,Session Refresh,19,651,1960.73,722.4
2019-01-09,552,0,8,Organic Social,0,0,0,0
2019-01-09,1782,14,9,Referring Domain,40,2181,5442.46,1308.95
2019-01-10,6749,23,1,Paid Search,81,3414,11508.14,1496.2
2019-01-10,28315,83,2,Organic Search,305,13241,43123.85,8245.2
2019-01-10,104,0,3,Display,0,0,0,0
2019-01-10,529,3,4,Email,10,538,1356.02,676.2
2019-01-10,689,27,5,Affiliate,94,4150,13937.53,1501.05
